year,genre,rating,users_rating,votes,languages,runtime
3,6.0,2.0,5.6,736,1,125
3,6.0,1.0,4.0,359,1,93
3,1.0,1.0,7.4,58,1,
3,5.0,2.0,7.5,57,1,
3,8.0,6.0,7.0,"19,856",1,121
3,5.0,,7.1,53,1,108
3,3.0,1.0,6.0,18,1,88
3,3.0,,3.5,27,1,82
3,3.0,2.0,6.6,8,1,90
3,3.0,2.0,7.3,6,1,92
3,3.0,1.0,2.4,18,1,82
3,5.0,1.0,7.3,11,1,88
3,4.0,1.0,2.8,8,1,115
3,8.0,1.0,7.2,"1,327",1,123
3,6.0,1.0,8.4,"3,080",1,
4,3.0,1.0,3.5,17,1,78
4,8.0,,6.7,14,1,106
4,5.0,,7.5,138,1,
4,3.0,,5.1,17,1,
4,6.0,1.0,6.3,15,1,92
4,6.0,,7.4,17,1,
4,8.0,8.0,5.3,"17,778",2,106
4,6.0,,7.2,102,1,104
4,1.0,,7.3,61,1,
4,5.0,,7.3,561,1,135
4,3.0,1.0,5.4,623,1,74
4,5.0,1.0,7.0,357,1,99
4,6.0,,7.2,13,1,95
4,5.0,,8.7,25,1,
4,4.0,1.0,7.3,321,1,108
4,5.0,,6.6,191,1,112
4,3.0,1.0,4.8,64,1,
4,3.0,,6.0,5,1,91
4,5.0,,7.5,75,1,96
4,6.0,,5.7,83,1,83
4,3.0,1.0,3.7,221,1,86
4,6.0,2.0,6.6,74,1,117
4,5.0,,8.2,16,1,
4,1.0,3.0,7.7,336,1,122
4,3.0,1.0,3.5,110,1,
4,5.0,2.0,7.6,9,1,100
4,5.0,,7.0,7,1,101
4,5.0,,7.0,20,1,
4,5.0,5.0,7.0,"2,350",1,93
4,6.0,,7.6,8,1,98
4,5.0,6.0,5.1,"1,059",1,107
4,6.0,,7.5,13,1,103
4,8.0,,8.7,69,1,95
4,3.0,,6.5,105,1,95
4,5.0,,7.2,107,1,129
4,5.0,,6.5,10,1,94
4,5.0,,7.0,62,1,106
4,10.0,2.0,7.1,145,1,139
4,5.0,1.0,6.8,151,1,102
4,5.0,,6.8,8,1,
4,8.0,,8.0,71,1,
4,3.0,2.0,6.6,54,1,
4,5.0,,7.3,740,1,102
4,4.0,1.0,1.4,880,1,91
4,3.0,2.0,4.0,65,1,89
4,5.0,7.0,6.6,"6,877",1,107
4,8.0,1.0,3.2,37,1,92
4,5.0,5.0,6.4,45,1,
4,8.0,,7.9,7,1,98
4,5.0,,6.9,298,1,83
4,7.0,3.0,6.4,90,1,
4,5.0,,8.0,27,1,
4,6.0,1.0,6.7,111,1,98
4,5.0,1.0,7.7,6,1,88
4,5.0,1.0,7.0,370,1,90
4,5.0,8.0,7.4,121,1,
4,5.0,,8.8,62,3,
4,5.0,1.0,7.1,359,1,121
4,6.0,,7.1,773,1,110
4,6.0,1.0,7.3,285,1,110
4,5.0,,6.8,20,1,84
4,3.0,,5.3,19,1,
4,3.0,,5.4,398,1,117
4,6.0,1.0,6.7,254,1,115
4,6.0,,7.1,63,1,99
4,4.0,1.0,7.3,61,1,103
4,3.0,,5.8,33,1,
4,8.0,1.0,4.7,504,1,105
4,5.0,1.0,5.6,533,1,125
4,1.0,,8.8,43,1,
4,4.0,1.0,5.5,404,1,
5,1.0,,6.6,196,1,
5,5.0,,6.5,51,1,85
5,5.0,3.0,8.0,6,1,101
5,8.0,,1.6,49,1,94
5,8.0,1.0,6.4,14,1,
5,4.0,1.0,4.4,153,1,100
5,6.0,,6.6,52,1,103
5,6.0,1.0,8.0,"1,472",1,104
5,5.0,,7.9,34,1,
5,8.0,1.0,6.1,307,1,
5,11.0,,7.2,15,1,105
5,5.0,,7.1,109,1,77
5,4.0,,6.5,98,1,113
5,6.0,1.0,5.9,564,1,101
5,8.0,7.0,6.3,"12,507",1,118
5,5.0,,7.2,12,1,115
5,5.0,,6.0,111,1,102
5,2.0,,5.8,18,1,77
5,5.0,,6.7,40,1,124
5,5.0,9.0,7.0,22,1,100
5,4.0,9.0,7.3,217,1,97
5,8.0,3.0,5.3,23,1,96
5,5.0,,6.9,14,1,112
5,5.0,,7.0,7,1,102
5,8.0,,6.0,6,1,106
5,5.0,3.0,8.3,67,1,
5,6.0,,6.6,449,1,
5,12.0,,7.2,11,1,
5,5.0,,6.2,12,1,89
5,6.0,1.0,7.5,48,1,
5,8.0,9.0,6.6,53,1,100
5,4.0,3.0,8.4,16,1,
5,6.0,,7.2,"1,241",1,108
5,5.0,,7.1,17,1,90
5,5.0,,5.6,14,1,
5,6.0,,7.5,6,1,104
5,1.0,1.0,7.5,644,1,
5,3.0,,5.4,16,1,
5,5.0,,7.5,279,1,
5,6.0,,6.4,35,1,102
5,5.0,,7.4,13,1,
5,1.0,9.0,8.5,29,1,89
5,5.0,,8.6,9,1,88
5,6.0,3.0,7.1,19,1,108
5,5.0,,7.8,22,1,
5,5.0,8.0,7.2,262,1,97
5,6.0,,7.3,86,1,
5,11.0,8.0,8.4,5,1,
5,5.0,,7.1,46,2,94
5,5.0,,6.6,25,1,
5,3.0,,5.3,521,1,107
5,4.0,,7.4,8,1,98
5,8.0,,6.4,39,1,95
5,2.0,9.0,5.8,8,1,90
5,5.0,,8.0,11,1,
5,8.0,,2.2,247,1,90
5,5.0,1.0,7.7,59,1,83
5,6.0,,6.6,128,1,
5,4.0,,6.5,"1,049",1,
5,5.0,1.0,7.4,"1,650",1,123
5,11.0,1.0,7.8,17,1,103
5,5.0,1.0,8.0,29,1,87
6,8.0,,5.9,24,1,116
6,6.0,,5.6,5,1,86
6,8.0,,7.3,292,1,123
6,5.0,,7.2,698,1,116
6,5.0,9.0,8.6,19,1,76
6,5.0,,5.4,5,1,
6,4.0,2.0,6.0,213,1,109
6,5.0,1.0,7.3,20,1,
6,3.0,,6.2,5,1,83
6,5.0,,6.8,14,1,
6,3.0,,5.4,125,1,
6,8.0,1.0,6.3,327,1,
6,5.0,1.0,6.7,36,1,
6,6.0,3.0,5.3,26,1,91
6,5.0,,7.1,604,1,117
6,8.0,,5.9,31,1,99
6,8.0,,3.6,14,1,85
6,1.0,,7.3,92,1,161
6,6.0,,5.6,16,1,100
6,8.0,3.0,7.3,32,1,
6,3.0,,6.2,11,1,
6,6.0,3.0,7.3,202,1,
6,6.0,,4.8,5,1,95
6,5.0,2.0,7.8,12,1,83
6,1.0,,7.7,26,1,
6,6.0,,5.3,47,1,95
6,5.0,,6.2,43,1,96
6,5.0,,6.5,19,1,
6,4.0,,7.7,71,1,94
6,5.0,,6.1,56,1,80
6,3.0,,5.0,9,1,81
6,5.0,,6.7,15,1,
6,5.0,,6.2,8,1,80
6,4.0,,7.4,269,1,
6,6.0,,7.0,392,1,
6,7.0,,7.1,"2,714",1,99
6,8.0,3.0,6.1,14,1,90
6,4.0,8.0,6.1,11,1,85
6,4.0,,7.2,21,1,98
6,6.0,1.0,6.8,628,1,127
6,8.0,,6.7,10,1,
6,6.0,,6.0,66,1,126
6,5.0,1.0,7.8,"2,135",1,
6,5.0,,7.1,89,1,119
6,6.0,3.0,6.8,26,1,109
6,5.0,,7.4,45,1,
6,10.0,,5.8,146,2,97
6,11.0,,8.9,60,1,
6,3.0,9.0,6.0,90,1,95
6,3.0,,5.8,22,1,100
7,5.0,,8.6,66,1,110
7,8.0,,6.9,35,1,109
7,5.0,3.0,7.3,32,1,
7,5.0,,6.6,29,1,90
7,5.0,,7.1,77,1,97
7,4.0,,6.0,25,1,102
7,6.0,,7.0,42,1,
7,3.0,,6.8,13,1,90
7,5.0,,7.2,231,1,
7,8.0,,7.0,5,1,93
7,6.0,,5.6,111,1,101
7,8.0,2.0,7.0,839,1,106
7,3.0,1.0,6.1,7,1,90
7,8.0,7.0,4.2,143,2,91
7,4.0,,6.1,17,1,
7,1.0,,8.1,59,1,
7,8.0,7.0,6.4,"4,710",4,137
7,6.0,,6.0,30,1,94
7,8.0,,1.7,10,1,57
7,6.0,8.0,7.4,16,1,90
7,3.0,,6.5,52,1,
7,5.0,,7.3,27,1,
7,6.0,,6.9,275,1,
7,1.0,,6.7,160,1,
7,5.0,,7.2,12,1,
7,3.0,,5.3,48,1,
7,8.0,7.0,6.2,722,1,111
7,5.0,,6.4,26,1,90
7,5.0,,7.5,64,1,106
7,8.0,,6.2,18,1,90
7,5.0,,7.3,161,1,94
7,5.0,,7.5,210,1,95
7,5.0,,5.9,13,1,85
7,8.0,,6.6,83,1,
7,5.0,3.0,8.4,16,1,
7,5.0,,6.4,289,1,135
7,5.0,3.0,7.6,118,1,107
7,6.0,,5.5,25,1,
7,8.0,8.0,8.0,"112,091",1,150
7,5.0,,7.3,31,1,101
