year,genre,rating,users_rating,votes,languages,runtime
3.0,1.0,1.0,7.4,58.0,1.0,86.5
3.0,5.0,2.0,7.5,57.0,1.0,92.5
3.0,8.0,6.0,7.0,19856.0,1.0,121.0
3.0,5.0,2.0,7.1,53.0,1.0,108.0
3.0,3.0,1.0,6.0,18.0,1.0,88.0
3.0,3.0,2.0,3.5,27.0,1.0,82.0
3.0,3.0,2.0,6.6,8.0,1.0,90.0
3.0,3.0,2.0,7.3,6.0,1.0,92.0
3.0,3.0,1.0,2.4,18.0,1.0,82.0
3.0,5.0,1.0,7.3,11.0,1.0,88.0
3.0,4.0,1.0,2.8,8.0,1.0,115.0
3.0,8.0,1.0,7.2,1327.0,1.0,123.0
3.0,6.0,1.0,8.4,3080.0,1.0,116.5
4.0,3.0,1.0,3.5,17.0,1.0,78.0
4.0,8.0,1.5,6.7,14.0,1.0,106.0
4.0,5.0,1.5,7.5,138.0,1.0,115.5
4.0,3.0,1.0,5.1,17.0,1.0,89.0
4.0,6.0,1.0,6.3,15.0,1.0,92.0
4.0,6.0,2.0,7.4,17.0,1.0,99.0
4.0,8.0,8.0,5.3,17778.0,2.0,106.0
4.0,6.0,1.0,7.2,102.0,1.0,104.0
4.0,1.0,1.0,7.3,61.0,1.0,92.5
4.0,5.0,2.0,7.3,561.0,1.0,135.0
4.0,3.0,1.0,5.4,623.0,1.0,74.0
4.0,5.0,1.0,7.0,357.0,1.0,99.0
4.0,6.0,2.0,7.2,13.0,1.0,95.0
4.0,5.0,1.0,8.7,25.0,1.0,92.5
4.0,4.0,1.0,7.3,321.0,1.0,108.0
4.0,5.0,2.0,6.6,191.0,1.0,112.0
4.0,3.0,1.0,4.8,64.0,1.0,85.5
4.0,3.0,2.0,6.0,5.0,1.0,91.0
4.0,5.0,1.0,7.5,75.0,1.0,96.0
4.0,6.0,1.5,5.7,83.0,1.0,83.0
4.0,3.0,1.0,3.7,221.0,1.0,86.0
4.0,6.0,2.0,6.6,74.0,1.0,117.0
4.0,5.0,2.0,8.2,16.0,1.0,104.0
4.0,1.0,3.0,7.7,336.0,1.0,122.0
4.0,3.0,1.0,3.5,110.0,1.0,92.5
4.0,5.0,2.0,7.6,9.0,1.0,100.0
4.0,5.0,3.0,7.0,7.0,1.0,101.0
4.0,5.0,2.5,7.0,20.0,1.0,83.0
4.0,5.0,5.0,7.0,2350.0,1.0,93.0
4.0,6.0,1.0,7.6,8.0,1.0,98.0
4.0,5.0,6.0,5.1,1059.0,1.0,107.0
4.0,6.0,2.0,7.5,13.0,1.0,103.0
4.0,8.0,2.5,8.7,69.0,1.0,95.0
4.0,3.0,1.0,6.5,105.0,1.0,95.0
4.0,5.0,1.0,7.2,107.0,1.0,129.0
4.0,5.0,2.0,6.5,10.0,1.0,94.0
4.0,5.0,1.0,7.0,62.0,1.0,106.0
4.0,10.0,2.0,7.1,145.0,1.0,139.0
4.0,5.0,1.0,6.8,151.0,1.0,102.0
4.0,5.0,1.5,6.8,8.0,1.0,100.5
4.0,8.0,1.5,8.0,71.0,1.0,91.5
4.0,3.0,2.0,6.6,54.0,1.0,100.5
4.0,5.0,4.5,7.3,740.0,1.0,102.0
4.0,4.0,1.0,1.4,880.0,1.0,91.0
4.0,3.0,2.0,4.0,65.0,1.0,89.0
4.0,5.0,7.0,6.6,6877.0,1.0,107.0
4.0,8.0,1.0,3.2,37.0,1.0,92.0
4.0,5.0,5.0,6.4,45.0,1.0,100.0
4.0,8.0,1.0,7.9,7.0,1.0,98.0
4.0,5.0,1.5,6.9,298.0,1.0,83.0
4.0,7.0,3.0,6.4,90.0,1.0,113.0
4.0,5.0,1.0,8.0,27.0,1.0,89.5
4.0,6.0,1.0,6.7,111.0,1.0,98.0
4.0,5.0,1.0,7.7,6.0,1.0,88.0
4.0,5.0,1.0,7.0,370.0,1.0,90.0
4.0,5.0,8.0,7.4,121.0,1.0,121.5
4.0,5.0,1.0,8.8,62.0,3.0,104.5
4.0,5.0,1.0,7.1,359.0,1.0,121.0
4.0,6.0,3.0,7.1,773.0,1.0,110.0
4.0,6.0,1.0,7.3,285.0,1.0,110.0
4.0,5.0,3.0,6.8,20.0,1.0,84.0
4.0,3.0,1.0,5.3,19.0,1.0,86.0
4.0,3.0,4.0,5.4,398.0,1.0,117.0
4.0,6.0,1.0,6.7,254.0,1.0,115.0
4.0,6.0,1.0,7.1,63.0,1.0,99.0
4.0,4.0,1.0,7.3,61.0,1.0,103.0
4.0,3.0,1.5,5.8,33.0,1.0,83.5
